AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc, rawrap
61,1.849167,47.040833,1.6,1.4,14.3,5313,0,0,0,0,0,0,0,5313,1.849167
100866,1.8525,46.988613,0.8,0.6,15.3,5054,0,0,0,0,0,0,0,5054,1.8525
104526,1.86125,34.408058,0.3,0.22,17.5,0,0.8,2.4,10499,77,11,8.3,75,10499,1.86125
104578,1.86375,33.806667,0.5,0.22,17.5,0,0.77,2.5,5055,120,7,6.1,75,5055,1.86375
100045,1.86375,32.071667,0.77,0.7,17.2,4864,1.95,2.3,4862,95,10,19.8,75,4862,1.86375
104311,1.902083,29.015278,0.2,0.14,19,0,0,0,8400,0,0,0,78,8400,1.902083
104214,1.908333,33.340275,0.3,0.25,18.5,0,0,0,4700,0,0,0,78,4700,1.908333
100046,1.915,25.586668,0.7,0.25,15.5,7074,0.46,0.9,7054,99,20,4.6,52,7054,1.915
102744,1.9225,29.91,0.12,0.08,18,0,1.23,2,7516,255,14,8.6,75,7516,1.9225
100946,1.922917,31.887777,0,0,0,13690,0,0,0,0,0,0,0,13690,1.922917
103126,1.92625,47.346386,0,0,0,17898,0,0,0,0,0,0,0,17898,1.92625
64,1.93375,40.875832,1.4,1.1,15.5,273,16,0,305,90,0,0,37,305,1.93375
102745,1.94625,31.790833,0.3,0.1,16.5,0,0.71,2.1,4606,122,7,6.8,75,4606,1.94625
62,1.95375,35.361942,1.2,0.7,14.6,5111,0,0,0,0,0,0,0,5111,1.95375
102559,1.954167,27.508888,0.6,0.3,16,0,1.01,2.2,7518,166,11,8.2,75,7518,1.954167
63,1.961667,35.965836,1,0.7,15.6,439,3.38,1.7,441,41,2,67.3,75,441,1.961667
100048,1.972083,39.728058,0.5,0.5,15.4,13322,0,0,0,0,0,0,0,13322,1.972083
100049,1.97625,20.412222,0.6,0.2,15.5,7855,0.61,0.6,7843,360,13,4.9,52,7843,1.97625
104565,2.00125,35.348888,0,0,0,0,0.3,2.2,3143,18,7,6.6,75,3143,2.00125
65,2.006667,33.070278,1.1,0.7,13.8,4886,1.33,2.5,4893,339,44,6.5,75,4893,2.006667
104579,2.010417,32.207222,0.6,0.25,17,0,1.51,2.4,10447,297,21,8.3,75,10447,2.010417
104528,2.0125,34.751667,0.3,0.2,17.2,0,0.84,2.5,14071,93,38,7.6,75,14071,2.0125
102560,2.021667,26.100834,0.5,0.5,16,0,1.81,2.4,11707,151,6,13.8,75,11707,2.021667
100779,2.024583,32.633614,0.3,0.1,15.5,5124,0.53,2.2,5082,140,10,4.5,75,5082,2.024583
68,2.042917,27.003889,1,0.55,14.4,8741,2.94,1.3,8775,250,8,10.1,52,8775,2.042917
69,2.045417,27.5275,1.3,0.9,14.7,4638,7.72,2.4,4637,175,1,54.7,75,4637,2.045417
100789,2.05875,26.99889,0.4,0.1,16.5,8755,0,0,0,0,0,0,0,8755,2.05875
70,2.060833,49.768612,1,0.8,16.5,0,1.67,0,5212,76,10,0,19,5212,2.060833
104743,2.0775,27.436943,0.4,0.18,17.5,0,0,0,8600,0,0,0,78,8600,2.0775
100052,2.085,40.633892,0,0,0,13516,0,0,0,0,0,0,0,13516,2.085
101097,2.099583,33.028332,0.7,0.1,17.1,0,1.61,2.2,4950,181,3,12,75,4950,2.099583
100053,2.10125,31.091389,0.55,0.15,15.7,13301,1.45,2.4,13145,270,18,8.2,75,13145,2.10125
104314,2.101667,29.763056,0.3,0.2,18.5,0,0,0,6600,0,0,0,78,6600,2.101667
100952,2.128334,34.78611,0.3,0.22,16.5,10092,0.69,2.3,10406,88,6,7.2,75,10406,2.128334
104316,2.146667,34.829998,0.2,0.15,19,0,0,0,6300,0,0,0,78,6300,2.146667
71,2.149584,44.096111,1.2,0.7,15.7,0,1.3,0,8162,335,99,2.6,36,8162,2.149584
103308,2.16,23.958612,0.4,0.2,16.5,0,0.65,1.9,6648,149,7,6.2,75,6648,2.16
73,2.176667,37.447502,1.6,0.22,14.5,4421,2.36,3.2,4363,498,48,4,52,4421,2.176667
77,2.19875,33.432503,2.5,0.7,14.2,4808,3.27,3.2,4820,447,3,10.2,75,4820,2.19875
76,2.205417,24.539999,1.1,0.3,16,4574,3.65,2.3,4583,195,19,25.6,75,4583,2.205417
78,2.227917,23.817223,1.3,0.7,14.5,4500,3.01,2.2,4534,161,5,23.7,75,4534,2.227917
102561,2.234583,26.238611,0.3,0.2,17,0,0.93,2.1,4405,97,11,10,75,4405,2.234583
102601,2.25375,27.783611,0.2,0.12,17,0,0,0,6900,0,0,0,78,6900,2.25375
82,2.260417,21.62389,1.2,0.7,14.9,6302,0.93,0.6,6326,529,20,5.6,52,6326,2.260417
102624,2.264167,25.46389,0.2,0.15,16,0,0.71,2.5,1393,109,11,6.1,75,1393,2.264167
80,2.2675,27.728889,1.8,1,12.5,3041,0,0.6,3000,0,0,0,23,3041,2.2675
79,2.268333,25.618055,1.7,1.3,15.7,4351,5.95,2.3,4336,189,2,41.2,75,4336,2.268333
104530,2.285417,34.467777,0.2,0.18,17.2,0,0.94,2.1,6315,100,6,9.9,75,6315,2.285417
101782,2.337083,30.666666,0.8,0.1,16.7,0,1.71,2.4,15163,309,99,9.1,75,15163,2.337083
85,2.370417,47.355831,1,0.45,14.5,5153,7.79,6.2,5168,308,11,5.3,56,5168,2.370417
102562,2.375,26.333889,0.2,0.2,17,0,1.47,2.3,11693,223,5,9.6,75,11693,2.375
84,2.386667,33.308609,1.7,1.5,14.5,5300,0,0,0,0,0,0,0,5300,2.386667
100868,2.387083,48.134724,1,0.5,15,5372,2.27,0,5367,353,0,8.5,47,5367,2.387083
102625,2.397917,25.553055,0.6,0.5,16.5,0,1.14,2,4642,129,15,11,75,4642,2.397917
100060,2.425417,49.841667,0.35,0.25,17,9960,0,0,0,0,0,0,0,9960,2.425417
87,2.443333,28.340834,1.2,1.2,15.1,8315,0,0,0,0,0,0,0,8315,2.443333
100059,2.443333,28.475,0.5,0.15,15.7,8407,0,0,0,0,0,0,0,8407,2.443333
86,2.450833,27.831945,1.8,1.4,14.9,8312,3.82,2.4,8312,359,2,18.5,75,8312,2.450833
102902,2.453333,28.689999,0.4,0.3,15.8,0,1.24,2.1,10560,108,8,12.7,75,10560,2.453333
100061,2.464167,26.791111,0.45,0.3,15.5,17315,1.79,1,17233,253,8,8.6,52,17233,2.464167
89,2.472083,25.923889,2.2,1.6,12.5,4566,7.35,2.4,4569,383,29,35.5,75,4569,2.472083
104843,2.495,33.261391,0.4,0.33,17.5,0,0,0,4900,0,0,0,78,4900,2.495
102746,2.49875,29.91,0.3,0.2,16,0,1.51,2,6840,232,23,11,75,6840,2.49875
92,2.507917,28.210001,1.5,1.3,14.7,8168,3.86,2.3,8171,73,4,42.8,75,8171,2.507917
91,2.51375,28.149721,1.4,0.35,15.7,8216,4.5,2.6,8203,420,8,18.7,75,8203,2.51375
103130,2.523334,48.076389,0,0,0,16827,0,0,0,0,0,0,0,16827,2.523334
