AGCNr,Name,RAdeg_HI,Decdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,errW50,HIflux,errflux,SNR,RMS,Dist,logMsun,HIcode,useradeg,usedecdeg,wrapradeg
100078,478-038a,2.97958,23.02639,2.98292,23.02333,7558,269,6,3.21,0.1,16.6,2.63,103.1,9.9,1,2.98292,23.02333,2.98292
110,478-039 ,3.00292,26.39778,3.00542,26.39305,4507,176,6,3.3,0.07,26.4,2.1,55,9.37,1,3.00542,26.39305,3.00542
100079,478-040 ,3.02583,24.98583,3.025,24.98833,10753,335,37,3.63,0.1,19.8,2.24,148.8,10.28,1,3.025,24.98833,3.025
102750,        ,3.04083,30.27167,3.03875,30.26833,12935,58,14,0.62,0.05,7.9,2.24,180.1,9.68,1,3.03875,30.26833,3.03875
100080,499-074 ,3.04167,27.90917,3.03875,27.90972,7396,327,12,2.14,0.11,11.5,2.3,100.9,9.71,1,3.03875,27.90972,3.03875
100081,499-075 ,3.05125,29.33,3.04833,29.31972,7578,487,11,1.84,0.13,6.9,2.45,103.5,9.67,1,3.04833,29.31972,3.04833
102751,        ,3.05625,31.74694,3.06792,31.75306,4790,39,5,0.6,0.05,8.9,2.35,67.6,8.81,1,3.06792,31.75306,3.06792
113,478-041 ,3.05917,22.32,3.06542,22.32111,7616,512,5,4.34,0.13,16.2,2.33,103.9,10.04,1,3.06542,22.32111,3.06542
100083,        ,3.07167,28.64583,3.06583,28.64889,7160,200,3,2.11,0.08,15,2.22,97.5,9.67,1,3.06583,28.64889,3.06583
114,N  39   ,3.08208,31.06472,3.07875,31.06083,4856,182,3,3.71,0.09,24.7,2.49,67.6,9.6,1,3.07875,31.06083,3.07875
102752,        ,3.10208,32.08416,3.10375,32.07833,6572,217,6,2.22,0.09,14.9,2.26,89.3,9.62,1,3.10375,32.07833,3.10375
103313,        ,3.10458,22.45583,3.105,22.45917,6095,40,4,0.65,0.05,9.3,2.43,86.3,9.06,1,3.105,22.45917,3.105
101203,        ,3.13125,29.54222,3.11708,29.54444,6872,166,18,0.7,0.06,6.8,1.77,93.5,9.16,1,3.11708,29.54444,3.11708
103314,        ,3.13875,23.72695,3.13583,23.72611,11862,169,5,1.25,0.08,8.1,2.63,164.6,9.9,1,3.13583,23.72611,3.13583
101228,        ,3.16,30.10361,3.15833,30.10333,6815,174,10,0.78,0.07,5.8,2.28,92.7,9.2,2,3.15833,30.10333,3.15833
101845,        ,3.18708,29.36556,3.18625,29.37167,10414,183,15,1.17,0.09,7.8,2.47,144.1,9.76,1,3.18625,29.37167,3.18625
100086,N  41   ,3.19667,22.02639,3.2,22.02333,5974,331,4,1.67,0.1,8.9,2.3,87.9,9.48,1,3.2,22.02333,3.2
102904,        ,3.20208,28.79639,3.20417,28.80556,7569,198,12,2.14,0.08,14.6,2.32,103.4,9.73,1,3.20417,28.80556,3.20417
117,499-078 ,3.22083,33.36472,3.22667,33.36083,4759,213,3,7.16,0.1,38.1,2.87,67.1,9.88,1,3.22667,33.36083,3.22667
103316,        ,3.25875,22.10695,3.25375,22.10444,6478,197,6,1.73,0.08,11.1,2.48,87.6,9.5,1,3.25375,22.10444,3.25375
102630,        ,3.30333,25.60972,3.3025,25.60389,6238,96,16,0.81,0.05,10.4,1.76,88.4,9.17,1,3.3025,25.60389,3.3025
