optvel, fluxJy
3499.072214,-0.000469
3504.346152,-0.000270
3509.620274,-0.001443
3514.894579,-0.001743
3520.169068,0.000229
3525.443740,0.000632
3530.718596,-0.002147
3535.993635,-0.003052
3541.268858,-0.001634
3546.544264,-0.000507
3551.819853,0.000986
3557.095626,0.001273
3562.371583,0.000041
3567.647723,0.001721
3572.924047,0.003026
3578.200554,0.002429
3583.477244,0.002256
3588.754119,0.000337
3594.031177,0.000118
3599.308418,0.002702
3604.585843,0.001924
3609.863452,-0.000242
3615.141244,-0.000257
3620.419220,-0.001108
3625.697380,-0.002564
3630.975723,-0.001365
3636.254249,0.002594
3641.532960,0.001790
3646.811854,-0.002217
3652.090932,-0.002630
3657.370193,-0.001820
3662.649639,-0.001419
3667.929268,-0.001825
3673.209080,-0.001895
3678.489077,-0.001964
3683.769257,-0.003878
3689.049620,-0.004387
3694.330168,-0.003647
3699.610899,-0.001569
3704.891815,0.002163
3710.172913,0.002289
3715.454196,0.000033
3720.735663,0.001593
3726.017313,0.003618
3731.299147,0.000423
3736.581165,-0.002692
3741.863367,-0.001427
3747.145753,0.002022
3752.428322,0.003225
3757.711076,0.000405
3762.994013,-0.001668
3768.277134,-0.001442
3773.560439,-0.002228
3778.843928,-0.003317
3784.127601,-0.002858
3789.411458,-0.002631
3794.695499,-0.001532
3799.979723,-0.000094
3805.264132,-0.000493
3810.548725,-0.000915
3815.833501,0.000389
3821.118462,0.000997
3826.403607,0.000922
3831.688935,0.001124
3836.974448,0.000151
3842.260144,-0.001081
3847.546025,-0.000321
3852.832090,0.002386
3858.118339,0.002508
3863.404771,0.000222
3868.691388,-0.000658
3873.978189,-0.001208
3879.265174,-0.000562
3884.552344,0.000894
3889.839697,0.002462
3895.127234,0.003847
3900.414956,0.004137
3905.702862,0.004452
3910.990951,0.002885
3916.279225,0.000281
3921.567684,-0.000679
3926.856326,-0.000815
3932.145152,-0.000915
3937.434163,-0.002169
3942.723358,-0.001765
3948.012737,0.000542
3953.302301,0.001741
3958.592048,0.002492
3963.881980,0.002435
3969.172096,0.001650
3974.462397,0.000173
3979.752881,-0.000843
3985.043550,-0.001410
3990.334404,-0.003437
3995.625441,-0.002690
4000.916663,-0.000507
4006.208069,-0.001007
4011.499660,-0.002057
4016.791434,-0.000633
4022.083394,0.002990
4027.375537,0.003970
4032.667865,0.001767
4037.960377,0.000617
4043.253074,0.000067
4048.545955,-0.000878
4053.839021,-0.000197
4059.132271,0.000528
4064.425705,-0.000648
4069.719324,-0.000273
4075.013127,0.000920
4080.307115,0.000310
4085.601287,-0.000341
4090.895644,0.000003
4096.190185,0.001152
4101.484910,0.001345
4106.779821,0.000956
4112.074915,0.001558
4117.370194,0.000817
4122.665658,-0.000966
4127.961306,-0.001306
4133.257139,-0.002433
4138.553157,-0.002261
4143.849358,0.000478
4149.145745,0.000748
4154.442316,0.000813
4159.739072,0.001637
4165.036012,0.001038
4170.333137,-0.000393
4175.630447,-0.000338
4180.927941,0.001016
4186.225620,0.001504
4191.523483,0.000732
4196.821532,0.001309
4202.119764,0.002049
4207.418182,0.000951
4212.716784,-0.000327
